id,cryptocurrency_id,date,price_usd,cryptocurrency_name,market_cap,volume,change
237,9,2025-04-10 12:00:58,0.999894,usd-coin,59932494302.33332,15804797799.056734,-0.0011396317210419329
238,1,2025-04-11 12:40:27,82762.0,bitcoin,1642472789085.4692,43226001961.725975,1.2090174076684446
239,2,2025-04-11 12:40:27,1572.74,ethereum,189687802708.7547,20837871682.762707,-1.431865309688396
240,3,2025-04-11 12:40:27,0.999463,tether,144268149587.08517,70781428312.02226,0.007299857357812724
241,4,2025-04-11 12:40:28,583.51,binancecoin,85103099543.08423,911795858.0475141,0.9769387392913909
242,9,2025-04-11 12:40:28,0.999959,usd-coin,59970605395.60861,12722010140.108948,0.00026690137410685395
243,1,2025-04-14 12:36:18,84627.0,bitcoin,1679505953045.2717,30497924091.238777,0.000662627376284454
244,2,2025-04-14 12:36:19,1664.41,ethereum,200681925232.1867,15039179284.238472,2.9725444113749977
245,3,2025-04-14 12:36:19,0.999806,tether,144317397145.9104,53101421079.80291,0.0030939318960356544
246,4,2025-04-14 12:36:19,590.65,binancecoin,86138084867.18318,559952432.290931,-0.03541128625864916
247,9,2025-04-14 12:36:20,0.999937,usd-coin,60128404249.791466,10385437502.70355,-0.0062862202967114995
248,1,2025-04-15 12:41:22,85616.0,bitcoin,1699665538668.867,28550085696.240273,1.2156745275307679
249,2,2025-04-15 12:41:22,1630.81,ethereum,197318994684.31592,10343619862.022432,-2.1451474472876226
250,3,2025-04-15 12:41:22,0.999958,tether,144334837326.72522,46832187346.16816,0.016263374820045612
251,4,2025-04-15 12:41:23,588.18,binancecoin,85857568798.81184,510090935.78862125,-0.4169314437650554
252,9,2025-04-15 12:41:23,0.999984,usd-coin,60204801274.99499,9027347829.866543,0.003354602913881124
253,1,2025-04-16 12:11:08,83678.0,bitcoin,1661271220938.5933,26090676050.404022,-2.5253279877586414
254,2,2025-04-16 12:11:09,1571.67,ethereum,189655797707.50122,11990776653.931833,-4.51065509801374
255,3,2025-04-16 12:11:09,0.999973,tether,144627874549.23044,36039791943.46938,0.006576389759972228
256,4,2025-04-16 12:11:09,577.85,binancecoin,84325232392.51485,529422555.618072,-2.0705613864059216
257,9,2025-04-16 12:11:09,0.999989,usd-coin,60385674087.97798,8073187022.882006,0.0036272911933210887
258,1,2025-04-21 12:01:40,87486.0,bitcoin,1736665440723.1262,24787582418.79088,3.49556700210552
259,2,2025-04-21 12:01:40,1642.59,ethereum,198265377631.42075,10694104075.071915,3.2399272362105
260,3,2025-04-21 12:01:41,1.0,tether,144629979731.6231,19440653045.123306,0.005510368958218467
261,4,2025-04-21 12:01:41,604.27,binancecoin,88154938595.50174,503958946.59264475,2.0062793931771514
